date,open,high,low,close,volume,name
08/02/2013,15.07,15.12,14.63,14.75,8407500,AAL
11/02/2013,14.89,15.01,14.26,14.46,8882000,AAL
12/02/2013,14.45,14.51,14.1,14.27,8126000,AAL
13/02/2013,14.3,14.94,14.25,14.66,10259500,AAL
14/02/2013,14.94,14.96,13.16,13.99,1879900,AAL
15/02/2013,13.93,14.61,13.93,14.5,15628000,AAL
19/02/2013,14.33,14.56,14.08,14.26,11354400,AAL
20/02/2013,14.17,14.26,13.15,13.33,14725200,AAL
21/02/2013,13.62,13.95,12.9,13.37,11922100,AAL
